observation_id,data_policy_licence,date_time,date_time_meaning,observation_duration,longitude,latitude,report_type,height_above_surface,observed_variable,units,observation_value,value_significance,platform_type,station_type,primary_station_id,station_name,quality_flag,source_id
GM000002698-4-1899-10-85-1,Open,1899-10-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,277.38,Minimum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-11-85-0,Open,1899-11-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,283.2,Maximum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-11-85-1,Open,1899-11-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,277.49,Minimum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-12-85-0,Open,1899-12-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,273.94,Maximum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000002698-4-1899-12-85-1,Open,1899-12-01 00:00:00+00:00,beginning,monthly,8.365,49.039,CLIMAT,2.0,air_temperature,K,268.95,Minimum value over indicated period,,Land station,GM000002698,KARLSRUHE,Passed,229
GM000003038-4-1899-01-85-0,Open,1899-01-01 00:00:00+00:00,beginning,monthly,11.388,53.644,CLIMAT,2.0,air_temperature,K,277.67,Maximum value over indicated period,,Land station,GM000003038,SCHWERIN,Passed,229
GM000003038-4-1899-01-85-1,Open,1899-01-01 00:00:00+00:00,beginning,monthly,11.388,53.644,CLIMAT,2.0,air_temperature,K,273.47,Minimum value over indicated period,,Land station,GM000003038,SCHWERIN,Passed,229
GM000003038-4-1899-02-85-0,Open,1899-02-01 00:00:00+00:00,beginning,monthly,11.388,53.644,CLIMAT,2.0,air_temperature,K,278.25,Maximum value over indicated period,,Land station,GM000003038,SCHWERIN,Passed,229
GM000003038-4-1899-02-85-1,Open,1899-02-01 00:00:00+00:00,beginning,monthly,11.388,53.644,CLIMAT,2.0,air_temperature,K,273.56,Minimum value over indicated period,,Land station,GM000003038,SCHWERIN,Passed,229
GM000003319-5-1899-01-85-0,Open,1899-01-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,278.01,Maximum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-01-85-1,Open,1899-01-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,273.63,Minimum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-02-85-0,Open,1899-02-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,278.71,Maximum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-02-85-1,Open,1899-02-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,273.43,Minimum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-03-85-0,Open,1899-03-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,280.76,Maximum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-03-85-1,Open,1899-03-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,273.35,Minimum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-04-85-0,Open,1899-04-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,286.25,Maximum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-04-85-1,Open,1899-04-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,277.91,Minimum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
