Station_id,primary_station_id_2,primary_station_id_3,record_number,data_policy_licence,region,sub_region,elevation,Station_name,source,,
AFM00040903,WMO40903-1-220,AFM00040903-220,1,1,2,2,480,KHWAJA-GHAR 40903,220,,
AFM00040905,WMO40905-1-220,AFM00040905-220,1,1,217,2,2265,SHIGHNAN 40905,220,,
AFA00409133,AFWA409133-8-221,AFA00409133-221,1,1,2,2,448,FOB KUNDUZ,221,,
AFA00409133,AFWA409133-7-221,AFA00409133-221,2,1,2,2,448,FOB KUNDUZ,221,,
AFA00409133,AFWA409133-6-221,AFA00409133-221,3,1,2,2,448,FOB KUNDUZ,221,,
AFA00409133,AFWA409133-5-221,AFA00409133-221,4,1,2,2,448,FOB KUNDUZ,221,,
AFA00409133,AFWA409133-4-221,AFA00409133-221,5,1,2,2,448,FOB KUNDUZ,221,,
AFA00409133,AFWA409133-3-221,AFA00409133-221,6,1,2,2,448,FOB KUNDUZ,221,,
AFA00409133,AFWA409133-2-221,AFA00409133-221,7,1,2,2,448,FOB KUNDUZ,221,,
AFA00409133,AFWA409133-1-221,AFA00409133-221,8,1,2,2,448,FOB KUNDUZ,221,,
AFA00409323,AFWA409323-2-221,AFA00409323-221,1,1,2,2,1945,PANJSHIR,221,,
AFA00409323,AFWA409323-1-221,AFA00409323-221,2,1,2,2,1945,PANJSHIR,221,,
AFA00409343,AFWA409343-4-221,AFA00409343-221,1,1,2,2,1042,FOB BOSTIC,221,,
AFA00409343,AFWA409343-3-221,AFA00409343-221,2,1,2,2,1042,FOB BOSTIC,221,,
AFA00409343,AFWA409343-2-221,AFA00409343-221,3,1,2,2,1042,FOB BOSTIC,221,,
AFA00409343,AFWA409343-1-221,AFA00409343-221,4,1,2,2,1042,FOB BOSTIC,221,,
AFA00409390,AFWA409390-2-221,AFA00409390-221,1,1,2,2,1280,QADES,221,,
AFA00409390,AFWA409390-1-221,AFA00409390-221,2,1,2,2,1280,QADES,221,,
AFA00409473,AFWA409473-4-221,AFA00409473-221,1,1,2,2,2240,CAMP AIRBORNE HLZ,221,,
AFA00409473,AFWA409473-3-221,AFA00409473-221,2,1,2,2,2240,CAMP AIRBORNE HLZ,221,,
AFA00409473,AFWA409473-2-221,AFA00409473-221,3,1,2,2,2240,CAMP AIRBORNE HLZ,221,,
AFA00409473,AFWA409473-1-221,AFA00409473-221,4,1,2,2,2240,CAMP AIRBORNE HLZ,221,,
AFA00409543,AFWA409543-4-221,AFA00409543-221,1,1,2,2,1215,FOB CONNOLLY,221,,
AFA00409543,AFWA409543-3-221,AFA00409543-221,2,1,2,2,1215,FOB CONNOLLY,221,,
AFA00409543,AFWA409543-2-221,AFA00409543-221,3,1,2,2,1215,FOB CONNOLLY,221,,
AFA00409543,AFWA409543-1-221,AFA00409543-221,4,1,2,2,1215,FOB CONNOLLY,221,,
AFA00409585,AFWA409585-3-221,AFA00409585-221,1,1,2,2,1020,CAMP BLESSING-NANGA,221,,
AFA00409585,AFWA409585-2-221,AFA00409585-221,2,1,2,2,1020,CAMP BLESSING-NANGA,221,,
AFA00409585,AFWA409585-1-221,AFA00409585-221,3,1,2,2,1020,CAMP BLESSING-NANGA,221,,
AFA00409705,AFWA409705-4-221,AFA00409705-221,1,1,2,2,2020,COP WILDERNESS,221,,
AFA00409705,AFWA409705-3-221,AFA00409705-221,2,1,2,2,2020,COP WILDERNESS,221,,
