station_id,record_id,primary_station_id_2,primary_station_id_3,station_name,height_of_station_above_sea_level,sub_region,region,source_id
AM000037713,1,AM000037713-1,AM000037713-232,BERD,692,6,6,232
AM000037719,1,AM000037719-1,AM000037719-166,CHAMBARAK,1834,6,6,166
AM000037772,1,AM000037772-1,AM000037772-232,TALIN,1637,6,6,232
AM000037773,1,AM000037773-1,AM000037773-232,GARNOVIT,2151,6,6,232
AM000037774,1,AM000037774-1,AM000037774-166,ARAGATS,1255,6,6,166
AM000037781,1,AM000037781-1,AM000037781-231,ARAGAC VISOKOGORNAYA,3223,6,6,231
AM000037782,1,AM000037782-1,AM000037782-232,AMBERD (KOSHABULAKH),1893,6,6,232
AM000037785,1,AM000037785-1,AM000037785-232,ASTARAK,1092,6,6,232
AM000037786,1,AM000037786-1,AM000037786-232,EGVARD,1339,6,6,232
AM000037787,1,AM000037787-1,AM000037787-166,ARMAVIR,865,6,6,166
AM000037789,1,AM000037789-1,AM000037789-166,YEREVAN,1113,6,6,166
AM000037791,1,AM000037791-1,AM000037791-166,FANTAN,1800,6,6,166
AM000037792,1,AM000037792-1,AM000037792-166,HRAZDAN,1761,6,6,166
AM000037798,1,AM000037798-1,AM000037798-232,GARNI,1427,6,6,232
AM000037801,1,AM000037801-1,AM000037801-166,GAVAR,1961,6,6,166
AM000037802,1,AM000037802-1,AM000037802-232,SHORJA,1929,6,6,232
AM000037808,1,AM000037808-1,AM000037808-166,MARTUNI,1943,6,6,166
AM000037815,1,AM000037815-1,AM000037815-166,MASRIK,1940,6,6,166
AM000037871,1,AM000037871-1,AM000037871-166,ARARAT,822,6,6,166
AM000037872,1,AM000037872-1,AM000037872-232,URCADZOR,1064,6,6,232
AM000037873,1,AM000037873-1,AM000037873-232,YANYKH,2334,6,6,232
AM000037874,1,AM000037874-1,AM000037874-166,EHGNADZOR,1317,6,6,166
AM000037875,1,AM000037875-1,AM000037875-232,ARENY,1008,6,6,232
AM000037876,1,AM000037876-1,AM000037876-232,EHEGNADZOR,1312,6,6,232
AM000037878,1,AM000037878-1,AM000037878-232,"BESIIMYANNIY,PEREVAL",2130,6,6,232
AM000037880,1,AM000037880-1,AM000037880-232,KOCHBEC,2392,6,6,232
AM000037884,1,AM000037884-1,AM000037884-232,D'ERMUK,2075,6,6,232
AM000037887,1,AM000037887-1,AM000037887-232,MARTIROS,1942,6,6,232
AM000037897,1,AM000037897-1,AM000037897-166,SISIAN,1581,6,6,166
AM000037954,1,AM000037954-1,AM000037954-232,KADJARAN,2574,6,6,232
AM000037958,1,AM000037958-1,AM000037958-166,MEGRI,628,6,6,166
AM000037959,1,AM000037959-1,AM000037959-166,KAPAN,706,6,6,166
AMM00037717,1,AMM00037717-1,AMM00037717-166,SEVAN OZERO,1917,6,6,166
AO000066160,1,AO000066160-1,AO000066160-166,LUANDA,74,8,1,166
AO000066270,1,AO000066270-1,AO000066270-166,WAKU KUNGU (CELA),1304,8,1,166
AO000066390,1,AO000066390-1,AO000066390-166,LUBANGO (SA DA BAND,1761,8,1,166
AO000066410,1,AO000066410-1,AO000066410-166,MENONGUE (SERPA PIN,1343,8,1,166
AO000066422,1,AO000066422-1,AO000066422-166,MOCAMEDES,45,8,1,166
AO000066447,1,AO000066447-1,AO000066447-166,MAVINGA,1088,8,1,166
AQC00914000,1,AQC00914000-1,AQC00914000-120,AS AASUFOU,408.4,11,5,120
AQC00914005,1,AQC00914005-1,AQC00914005-161,AS AFONO,182.9,11,5,161
AQC00914021,1,AQC00914021-1,AQC00914021-161,AS AMOULI TUTUILA,6.1,11,5,161
AQC00914060,1,AQC00914060-1,AQC00914060-161,AS ATUU,80.8,11,5,161
AQC00914135,1,AQC00914135-1,AQC00914135-161,AS FAGA ALU RSVR,249.9,11,5,161
AQC00914138,1,AQC00914138-1,AQC00914138-161,AS FAGA ALU STREAM,24.1,11,5,161
AQC00914141,1,AQC00914141-1,AQC00914141-120,AS FAGAITUA,4.6,11,5,120
AQC00914145,1,AQC00914145-1,AQC00914145-161,AS FAGASA TUTUILA,14.9,11,5,161
AQC00914149,1,AQC00914149-1,AQC00914149-161,AS FAGA TOGO,57,11,5,161
AQC00914188,1,AQC00914188-1,AQC00914188-161,AS FALEASAO TAU,6.1,11,5,161
AQC00914248,1,AQC00914248-1,AQC00914248-161,AS FALEASAO VILLAGE,4.9,11,5,161
AQC00914397,1,AQC00914397-1,AQC00914397-161,AS LEONE,6.1,11,5,161
AQC00914424,1,AQC00914424-1,AQC00914424-161,AS LUMA VILLAGE,6.1,11,5,161
AQC00914594,1,AQC00914594-1,AQC00914594-120,AS MALAELOA,42.4,11,5,120
AQC00914650,1,AQC00914650-1,AQC00914650-161,AS OFU,3,11,5,161
AQC00914822,1,AQC00914822-1,AQC00914822-161,AS SWAIN ISLAND,3,11,5,161
AQC00914869,1,AQC00914869-1,AQC00914869-161,AS TAFUNA AP TUTUILA,3,11,5,161
AQC00914873,1,AQC00914873-1,AQC00914873-161,AS TAPUTIMU TUTUILA,14.9,11,5,161
AQC00914902,1,AQC00914902-1,AQC00914902-161,AS VAIPITO,80.8,11,5,161
AQC00914912,1,AQC00914912-1,AQC00914912-161,AS VATIA,3,11,5,161
