primary_station_id_3,primary_station_id_2,station_id,record_number,station_name,longitude,latitude,height_of_station_above_sea_level,sub_region,region,data_policy_licence
USC00026282-160-4,USC00026282-160,USC00026282,4,AZ PATAGONIA PATON CTR,-110.76,31.539,1232.6,231,4,0
USC00026282-161-1,USC00026282-161,USC00026282,1,AZ PATAGONIA PATON CTR,-110.76,31.539,1232.6,231,4,0
USC00026282-233-2,USC00026282-233,USC00026282,2,AZ PATAGONIA PATON CTR,-110.76,31.539,1232.6,231,4,0
USC00026321-120-3,USC00026321-120,USC00026321,3,AZ PAYSON RANGER STATION,-111.511,34.4,1523.7,231,4,0
USC00026321-161-1,USC00026321-161,USC00026321,1,AZ PAYSON RANGER STATION,-111.511,34.4,1523.7,231,4,0
USC00026321-233-2,USC00026321-233,USC00026321,2,AZ PAYSON RANGER STATION,-111.511,34.4,1523.7,231,4,0
USC00026353-120-3,USC00026353-120,USC00026353,3,AZ PEARCE - SUNSITES  HCN,-109.838,31.936,1325.9,231,4,0
USC00026353-160-4,USC00026353-160,USC00026353,4,AZ PEARCE - SUNSITES  HCN,-109.838,31.936,1325.9,231,4,0
USC00026353-161-1,USC00026353-161,USC00026353,1,AZ PEARCE - SUNSITES  HCN,-109.838,31.936,1325.9,231,4,0
USC00026353-162-2,USC00026353-162,USC00026353,2,AZ PEARCE - SUNSITES  HCN,-109.838,31.936,1325.9,231,4,0
USC00026468-120-4,USC00026468-120,USC00026468,4,AZ PETRIFIED FOREST NP,-109.885,34.799,1659.9,231,4,0
USC00026468-160-5,USC00026468-160,USC00026468,5,AZ PETRIFIED FOREST NP,-109.885,34.799,1659.9,231,4,0
USC00026468-162-2,USC00026468-162,USC00026468,2,AZ PETRIFIED FOREST NP,-109.885,34.799,1659.9,231,4,0
USC00026468-233-3,USC00026468-233,USC00026468,3,AZ PETRIFIED FOREST NP,-109.885,34.799,1659.9,231,4,0
USC00026471-120-3,USC00026471-120,USC00026471,3,AZ PHANTOM RCH,-112.095,36.107,771.1,231,4,0
USC00026471-160-4,USC00026471-160,USC00026471,4,AZ PHANTOM RCH,-112.095,36.107,771.1,231,4,0
USC00026471-161-1,USC00026471-161,USC00026471,1,AZ PHANTOM RCH,-112.095,36.107,771.1,231,4,0
USC00026471-233-2,USC00026471-233,USC00026471,2,AZ PHANTOM RCH,-112.095,36.107,771.1,231,4,0
USC00026513-120-2,USC00026513-120,USC00026513,2,AZ PICACHO 8 SE,-111.402,32.646,603.8,231,4,0
USC00026513-160-3,USC00026513-160,USC00026513,3,AZ PICACHO 8 SE,-111.402,32.646,603.8,231,4,0
USC00026513-161-1,USC00026513-161,USC00026513,1,AZ PICACHO 8 SE,-111.402,32.646,603.8,231,4,0
USC00026601-120-4,USC00026601-120,USC00026601,4,AZ PINETOP 2E,-109.922,34.124,2194.6,231,4,0
USC00026601-160-5,USC00026601-160,USC00026601,5,AZ PINETOP 2E,-109.922,34.124,2194.6,231,4,0
USC00026601-162-2,USC00026601-162,USC00026601,2,AZ PINETOP 2E,-109.922,34.124,2194.6,231,4,0
USC00026601-233-3,USC00026601-233,USC00026601,3,AZ PINETOP 2E,-109.922,34.124,2194.6,231,4,0
USC00026603-120-3,USC00026603-120,USC00026603,3,AZ PINNACLE PEAK,-111.861,33.728,781.8,231,4,0
USC00026603-160-4,USC00026603-160,USC00026603,4,AZ PINNACLE PEAK,-111.861,33.728,781.8,231,4,0
USC00026603-161-1,USC00026603-161,USC00026603,1,AZ PINNACLE PEAK,-111.861,33.728,781.8,231,4,0
USC00026603-233-2,USC00026603-233,USC00026603,2,AZ PINNACLE PEAK,-111.861,33.728,781.8,231,4,0
