DWD - Day Historical Data
relh/wspd/airtmax/airtmin
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  RELH  RELH  RELH  RELH  WSPD  WSPD  WSPD  WSPD  AIRTH AIRTH AIRTH AIRTH AIRTL AIRTL AIRTL AIRTL 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        %     %     %           m/s   m/s   m/s         C     C     C           C     C     C     
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----++----++----++----++----++----++----++----++----++----++----++----++----+
00298     3     54.3406  12.7108 19470101 20151231    18628  18251  40.0 100.0 81.55 12632  0.00 15.20  4.06 18244 -12.2  35.2 11.95 18242 -23.6  20.2  4.92
00303    55     52.0614  13.4996 19980101 20151231     6568   6382  34.0 100.0 77.19  6487  0.00 12.30  3.22  6484 -13.1  38.3 14.54  6483 -26.1  21.5  4.48
00314   232     51.1605  14.5037 19450606 20151231    24468  23609  25.0 100.0 75.14     0-99.00-99.00-99.00 24311 -21.5  38.4 13.11 24311 -27.7  26.1  5.26
00320   350     49.9667  11.5197 19470101 20151231    25202  25202  29.0 100.0 78.06  5961  0.00  7.60  1.95 25202 -17.7  38.0 13.12 25202 -29.6  20.5  3.63
00326   120     51.7204   8.0577 20040701 20130707     3294   3287  39.0 100.0 79.11     0-99.00-99.00-99.00  3294 -10.5  36.4 14.09  3292 -18.6  20.5  6.17
00327    27     53.6234   8.8323 19620901 19961031    12480  12480  35.0 100.0 82.37     0-99.00-99.00-99.00 12480 -12.3  36.6 12.28 12480 -18.4  21.6  5.16
00330   450     49.5617   8.9679 19370101 20151231    28733  28610  24.0 100.0 79.01  7849  0.20 12.70  2.55 28696 -16.2  36.7 12.21 28468 -24.8  24.6  4.96
00335     4     54.3426  10.6018 19761201 19771031      335    335  58.0  98.0 82.29     0-99.00-99.00-99.00   335  -2.0  26.1 12.04   335  -7.4  16.0  5.38
00342   103     52.3170   8.1693 20101201 20151231     1857   1847  36.5 100.0 79.66  1836  0.50 11.10  3.39  1857  -6.6  36.8 13.68  1857 -16.8  20.8  5.88
00348   127     50.4135   7.5886 19900101 20110901     7914   7862  29.0 100.0 76.34  7689  0.00 10.20  2.40  7819 -10.3  39.7 15.49  7820 -17.3  21.0  6.55
