station_id,primary_station_id_3,primary_station_id_2,height_of_station_above_sea_level,sub_region,region,source_id,record_id,station_name
AJ000037957,AJ000037957-232,AJ000037957-1,787,16,6,232,1,ORDUBAD
AJ000037972,AJ000037972-232,AJ000037972-1,3,16,6,232,1,BILASUVAR
AJ000037978,AJ000037978-232,AJ000037978-1,2,16,6,232,1,GYOYTAPA
AJ000037984,AJ000037984-232,AJ000037984-1,1113,16,6,232,1,LERIK
AJ000037985,AJ000037985-232,AJ000037985-1,-12,16,6,232,1,LANKARAN
AJ000037989,AJ000037989-231,AJ000037989-1,-22,16,6,231,1,ASTARA GSN
ALM00013615,ALM00013615-166,ALM00013615-1,38.4,5,6,166,1,TIRANA RINAS GSN
AM000037618,AM000037618-232,AM000037618-1,1509,6,6,232,1,TASHIR
AM000037627,AM000037627-232,AM000037627-1,1110,6,6,232,1,ODZUN
AM000037682,AM000037682-232,AM000037682-1,1866,6,6,232,1,AMASIA
AM000037686,AM000037686-238,AM000037686-1,1523,6,6,238,1,GUMRI
AM000037693,AM000037693-232,AM000037693-1,1400,6,6,232,1,STEPANAVAN
AM000037695,AM000037695-232,AM000037695-1,1555,6,6,232,1,SPITAK
AM000037699,AM000037699-232,AM000037699-1,1892,6,6,232,1,APARAN
AM000037704,AM000037704-232,AM000037704-1,1379,6,6,232,1,VANADZOR
AM000037706,AM000037706-232,AM000037706-1,1255,6,6,232,1,DILIJAN
AM000037711,AM000037711-232,AM000037711-1,733,6,6,232,1,IDJEVAN
AM000037719,AM000037719-232,AM000037719-1,1834,6,6,232,1,CHAMBARAK
AM000037774,AM000037774-232,AM000037774-1,1255,6,6,232,1,ARAGATS
AM000037781,AM000037781-231,AM000037781-1,3223,6,6,231,1,ARAGAC VISOKOGORNAYA GSN
AM000037787,AM000037787-232,AM000037787-1,865,6,6,232,1,ARMAVIR
AM000037789,AM000037789-238,AM000037789-1,1113,6,6,238,1,YEREVAN
AM000037791,AM000037791-232,AM000037791-1,1800,6,6,232,1,FANTAN
AM000037792,AM000037792-232,AM000037792-1,1761,6,6,232,1,HRAZDAN
AM000037801,AM000037801-229,AM000037801-1,1961,6,6,229,1,GAVAR
AM000037808,AM000037808-232,AM000037808-1,1943,6,6,232,1,MARTUNI
AM000037815,AM000037815-232,AM000037815-1,1940,6,6,232,1,MASRIK
AM000037871,AM000037871-232,AM000037871-1,822,223,6,232,1,ARARAT
AM000037874,AM000037874-232,AM000037874-1,1317,6,6,232,1,EHGNADZOR
AM000037897,AM000037897-232,AM000037897-1,1581,6,6,232,1,SISIAN
AM000037958,AM000037958-232,AM000037958-1,628,6,6,232,1,MEGRI
AM000037959,AM000037959-232,AM000037959-1,706,6,6,232,1,KAPAN
AMM00037717,AMM00037717-166,AMM00037717-1,1917,6,6,166,1,SEVAN OZERO
AO000066160,AO000066160-232,AO000066160-1,74,8,1,232,1,LUANDA GSN
AO000066270,AO000066270-232,AO000066270-1,1304,8,1,232,1,WAKU KUNGU (CELA) GSN
AO000066390,AO000066390-232,AO000066390-1,1761,8,1,232,1,LUBANGO (SA DA BAND GSN
AO000066410,AO000066410-232,AO000066410-1,1343,8,1,232,1,MENONGUE (SERPA PIN GSN
AO000066422,AO000066422-232,AO000066422-1,45,8,1,232,1,MOCAMEDES GSN
AO000066447,AO000066447-232,AO000066447-1,1088,8,1,232,1,MAVINGA GSN
AQC00914000,AQC00914000-161,AQC00914000-1,408.4,231,5,161,1,AS AASUFOU
AQC00914005,AQC00914005-161,AQC00914005-1,182.9,231,5,161,1,AS AFONO
AQC00914021,AQC00914021-161,AQC00914021-1,6.1,231,5,161,1,AS AMOULI TUTUILA
AQC00914060,AQC00914060-161,AQC00914060-1,80.8,231,5,161,1,AS ATUU
AQC00914135,AQC00914135-161,AQC00914135-1,249.9,231,5,161,1,AS FAGA ALU RSVR
AQC00914138,AQC00914138-161,AQC00914138-1,24.1,231,5,161,1,AS FAGA ALU STREAM
AQC00914145,AQC00914145-161,AQC00914145-1,14.9,231,5,161,1,AS FAGASA TUTUILA
AQC00914149,AQC00914149-161,AQC00914149-1,57,231,5,161,1,AS FAGA TOGO
AQC00914188,AQC00914188-161,AQC00914188-1,6.1,11,5,161,1,AS FALEASAO TAU
AQC00914248,AQC00914248-161,AQC00914248-1,4.9,11,5,161,1,AS FALEASAO VILLAGE
AQC00914397,AQC00914397-161,AQC00914397-1,6.1,231,5,161,1,AS LEONE
AQC00914424,AQC00914424-161,AQC00914424-1,6.1,11,5,161,1,AS LUMA VILLAGE
AQC00914594,AQC00914594-161,AQC00914594-1,42.4,231,5,161,1,AS MALAELOA
AQC00914650,AQC00914650-161,AQC00914650-1,3,11,5,161,1,AS OFU
AQC00914822,AQC00914822-161,AQC00914822-1,3,231,5,161,1,AS SWAIN ISLAND
AQC00914869,AQC00914869-161,AQC00914869-1,3,231,5,161,1,AS TAFUNA AP TUTUILA
AQC00914873,AQC00914873-161,AQC00914873-1,14.9,231,5,161,1,AS TAPUTIMU TUTUILA
AQC00914902,AQC00914902-161,AQC00914902-1,80.8,11,5,161,1,AS VAIPITO
AQC00914912,AQC00914912-161,AQC00914912-1,3,231,5,161,1,AS VATIA
AQW00061705,AQW00061705-161,AQW00061705-1,3.7,231,5,161,1,AS PAGO PAGO WSO AP GSN
AR000000008,AR000000008-232,AR000000008-1,70,10,3,232,1,CURUZU CUATIA AERO
AR000000011,AR000000011-232,AR000000011-1,53,10,3,232,1,MONTE CASEROS AERO
AR000087007,AR000087007-231,AR000087007-1,3479,10,3,231,1,LA QUIACA OBSERVATO GSN
AR000087065,AR000087065-231,AR000087065-1,205,10,3,231,1,RIVADAVIA GSN
AR000087078,AR000087078-231,AR000087078-1,130,10,3,231,1,LAS LOMITAS GSN
