DWD - Day Historical Data
minbod/gust/ppt/sundur   
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  MNBOD MNBOD MNBOD MNBOD GUST  GUST  GUST  GUST  PPT   PPT   PPT   PPT   SUNDR SUNDR SUNDR SUNDR 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        C     C     C           m/s   m/s   m/s         mm    mm    mm          hour  hour  hour  
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----++----++----++----++----++----++----++----++----++----++----++----++----+
00555   101     51.4789   7.2697 19400101 20151231    15826  15784 -25.3  20.8  4.95     0 -99.0 -99.0 -99.0 15800   0.0  73.9   2.2 15678   0.0  15.6   3.9
00576   445     48.6759   8.9732 19870801 20031231     5997   5997 -23.5  20.0  3.41     0 -99.0 -99.0 -99.0  5997   0.0  64.0   2.1     0 -99.0 -99.0 -99.0
00578   379     48.9451  11.3667 19510301 19661231     5785   5754 -33.9  16.7  0.95     0 -99.0 -99.0 -99.0  5784   0.0  89.7   2.1     0 -99.0 -99.0 -99.0
00588   105     51.7520   9.3953 19920501 19960731     1553   1553 -18.5  18.4  3.69     0 -99.0 -99.0 -99.0  1553   0.0  41.8   2.4     0 -99.0 -99.0 -99.0
00591    45     53.3911  10.6878 19470101 20151231    25202  21190 -27.6  20.8  3.93 12244   2.0  35.0  10.8 23419   0.0  79.2   1.8 18868   0.0  16.4   4.4
00592    10     53.8634   9.7344 19460101 19621231     6209   6209 -23.5  19.8  3.37     0 -99.0 -99.0 -99.0  6208   0.0  55.3   2.2     0 -99.0 -99.0 -99.0
00596    15     54.0028  11.1908 19470101 20151231    25202  25202 -27.3  20.5  4.52 15511   3.4  40.0  12.6 25201   0.0  66.6   1.6 25143   0.0  16.5   4.8
00598    62     50.7285   7.0839 19490101 19570831     3165   3165 -31.4  20.4  4.42     0 -99.0 -99.0 -99.0  3164   0.0  51.6   1.9  3165   0.0  15.9   4.5
00599    62     50.7055   7.1467 19321001 19990301    22858  13541 -23.4  20.0  4.33  8789   1.2  29.2   8.9 18820   0.0  73.8   1.8 13567   0.0  15.6   4.1
00603   159     50.7349   7.1931 20000701 20151231     5640   5541 -20.7  20.1  4.63  4532   0.0  29.9   9.3  5533   0.0  68.0   2.2  5534   0.0  15.8   4.5
00606   569     48.0791  10.1977 19500101 19540731     1673   1673 -20.6  16.1  1.67     0 -99.0 -99.0 -99.0  1672   0.0  52.8   2.3     0 -99.0 -99.0 -99.0
00614   240     51.5709   9.3120 19510101 20071231    17471  16814 -28.3  19.0  3.25     0 -99.0 -99.0 -99.0 17470   0.0  70.3   2.0     0 -99.0 -99.0 -99.0
00617    48     51.8728   6.8862 20040601 20151231     4231   4231 -23.0  19.6  4.44     0 -99.0 -99.0 -99.0  4231   0.0  67.0   2.2     0 -99.0 -99.0 -99.0
00619    12     53.5788   6.6703 19470101 20060228    21578  21339 -15.5  22.0  6.13  6827   4.1  43.8  14.1 21578   0.0  78.3   2.1 21000   0.0  16.1   4.5
00642     1     53.3517   8.4969 19660101 19931031    10135  10135 -22.6  20.5  4.89  4626   2.2  37.0  11.2 10135   0.0  73.2   2.0 10135   0.0  16.0   3.9
00643     0     53.2960   8.4529 19931101 19941231      426    426 -12.9  20.1  4.64     0 -99.0 -99.0 -99.0   426   0.0  28.0   2.1    61   0.0   6.8   0.9
00645    58     52.4036   7.9724 19470101 19520131     1857   1857 -18.6  16.5  3.56     0 -99.0 -99.0 -99.0  1856   0.0  32.5   1.9  1603   0.0  15.8   4.3
00648     9     53.8551   9.7152 19630501 20061231    15951  15951 -25.0  19.5  3.41     0 -99.0 -99.0 -99.0 15951   0.0  78.4   2.4 11688   0.0  16.3   4.1
00650    35     52.4136  12.5503 19480701 20010430    15645   7546 -29.0  18.6  2.91     0 -99.0 -99.0 -99.0 15645   0.0  70.8   1.5     0 -99.0 -99.0 -99.0
00652   384     49.5353  10.7706 19490101 19580731     3499   3499 -26.6  20.5  3.08     0 -99.0 -99.0 -99.0  3498   0.0  82.4   1.6  3499   0.0  15.0   4.8
00656   607     51.7234  10.6021 19360101 20151231    28390  28072 -32.6  17.5  0.69 17059   0.8  36.0  10.6 28328   0.0 108.1   3.6 28294   0.0  15.7   4.1
00660    83     52.2744  10.5656 19480101 19601231     4749   4749 -28.5  22.0  3.62     0 -99.0 -99.0 -99.0  4748   0.0  78.1   1.7  4749   0.0  15.6   4.1
00661    75     52.2708  10.5334 18910101 19531231    21457   4715 -30.5  19.5  3.16     0 -99.0 -99.0 -99.0 21453   0.0  76.0   1.8  6726   0.0  16.5   4.6
00662    81     52.2914  10.4465 19610101 20151231    20088  20088 -29.7  21.0  3.67 18142   1.6  40.2  10.4 20088   0.0  79.9   1.7 20088   0.0  16.1   4.3
00685   585     49.9017   9.4281 19980112 20061101     3185   2940 -17.0  20.7  3.94     0 -99.0 -99.0 -99.0  2960   0.0  45.7   2.5  3003   0.0  15.6   4.0
00691     4     53.0445   8.7985 18900101 20151231    45714  28183 -26.1  20.5  3.91 23706   0.0  42.1  11.1 45653   0.0  78.5   1.9 27787   0.0  16.9   4.2
00699     4     53.1004   8.7834 19490101 19580630     3468      0 -99.0 -99.0-99.00     0 -99.0 -99.0 -99.0  3377   0.0  37.3   2.1     0 -99.0 -99.0 -99.0
00701     7     53.5332   8.5761 19490101 20151231    24471  23833 -23.6  21.1  5.64 22978   2.5  43.5  12.3 24471   0.0  70.5   2.1 24471   0.0  16.6   4.2
00702     8     53.5876   8.6015 19480101 19611231     5114   5114 -23.9  18.3  4.28     0 -99.0 -99.0 -99.0  5113   0.0  46.9   2.3     0 -99.0 -99.0 -99.0
00703     5     53.4779   9.1553 19370101 19850531    17652  17482 -30.0  19.0  3.65     0 -99.0 -99.0 -99.0 17651   0.0  70.4   2.1  2039   0.0  15.3   4.3
00704    10     53.4451   9.1390 19980101 20151231     6574   6400 -23.7  25.9  3.82  6178   2.0  31.3  10.1  6344   0.0  48.6   2.1  6429   0.0  16.5   4.1
00705     5     53.5312   9.1664 19850601 20061231     7884   7884 -25.5  19.8  4.16     0 -99.0 -99.0 -99.0  7884   0.0  82.7   2.2     0 -99.0 -99.0 -99.0
00706   234     47.8858   7.6611 19710501 20041231    12238  12238 -28.1  22.1  5.27  7645   0.0  35.6   9.6 12238   0.0  89.8   1.9  8705   0.0  14.9   4.6
